,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
18154,INN18155,2,0,0,2,Meal Plan 1,0,Room_Type 4,85,2018,1,22,Offline,0,0,0,66.6,0,Not_Canceled
28700,INN28701,3,0,1,0,Meal Plan 1,0,Room_Type 4,64,2018,7,25,Online,0,0,0,137.7,0,Not_Canceled
28364,INN28365,1,0,1,0,Meal Plan 1,1,Room_Type 1,3,2018,12,5,Corporate,1,0,3,67.0,1,Not_Canceled
31175,INN31176,2,0,4,7,Not Selected,0,Room_Type 1,0,2018,12,9,Online,0,0,0,71.25,0,Not_Canceled
28712,INN28713,3,0,0,2,Meal Plan 1,0,Room_Type 1,57,2018,4,28,Online,0,0,0,148.95,0,Not_Canceled
33404,INN33405,2,0,2,4,Meal Plan 1,0,Room_Type 1,59,2017,7,12,Online,0,0,0,76.5,0,Canceled
32231,INN32232,2,0,1,3,Meal Plan 1,0,Room_Type 1,23,2017,11,12,Online,0,0,0,90.95,1,Not_Canceled
35487,INN35488,2,0,0,2,Meal Plan 1,0,Room_Type 1,9,2018,10,4,Online,0,0,0,160.0,1,Not_Canceled
13978,INN13979,2,0,0,3,Meal Plan 1,0,Room_Type 1,72,2018,8,18,Online,0,0,0,135.9,2,Not_Canceled
34160,INN34161,2,0,1,1,Meal Plan 1,0,Room_Type 4,19,2018,9,5,Online,0,0,0,145.0,1,Canceled
9865,INN09866,2,0,0,0,Meal Plan 2,0,Room_Type 4,0,2017,10,15,Online,0,0,0,0.0,0,Not_Canceled
21074,INN21075,2,0,0,2,Meal Plan 1,0,Room_Type 1,68,2017,9,29,Offline,0,0,0,65.0,0,Not_Canceled
20428,INN20429,2,0,1,1,Meal Plan 1,0,Room_Type 1,4,2018,7,23,Online,0,0,0,141.0,1,Not_Canceled
17246,INN17247,2,0,0,1,Not Selected,0,Room_Type 1,80,2018,6,21,Online,0,0,0,104.49,0,Canceled
33210,INN33211,1,0,0,1,Meal Plan 1,0,Room_Type 4,3,2018,4,21,Aviation,0,0,0,110.0,0,Not_Canceled
36057,INN36058,2,0,2,2,Meal Plan 1,0,Room_Type 1,16,2017,9,26,Online,0,0,0,210.0,2,Not_Canceled
5497,INN05498,2,0,0,1,Meal Plan 1,0,Room_Type 1,21,2018,3,1,Offline,0,0,0,64.8,0,Not_Canceled
17485,INN17486,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,Offline,0,0,0,95.0,0,Canceled
29512,INN29513,1,0,2,4,Not Selected,0,Room_Type 1,3,2018,1,3,Online,0,0,0,54.0,0,Not_Canceled
6156,INN06157,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,11,3,Online,0,0,0,101.0,0,Not_Canceled
22624,INN22625,2,0,0,1,Meal Plan 1,0,Room_Type 4,16,2018,4,14,Online,0,0,0,142.0,0,Canceled
7148,INN07149,2,0,2,1,Meal Plan 1,0,Room_Type 1,80,2018,11,19,Online,0,0,0,93.6,1,Not_Canceled
16714,INN16715,2,0,1,2,Meal Plan 1,0,Room_Type 1,305,2018,11,4,Offline,0,0,0,89.0,0,Canceled
32732,INN32733,2,0,1,0,Meal Plan 1,0,Room_Type 1,29,2018,4,18,Online,0,0,0,101.0,1,Not_Canceled
3505,INN03506,2,0,2,4,Meal Plan 1,0,Room_Type 1,6,2017,8,20,Online,0,0,0,98.0,1,Not_Canceled
11849,INN11850,2,0,0,1,Not Selected,0,Room_Type 1,261,2018,12,10,Online,0,0,0,67.5,0,Canceled
30206,INN30207,2,0,0,1,Meal Plan 1,0,Room_Type 1,28,2018,9,27,Offline,0,0,0,75.0,2,Not_Canceled
15467,INN15468,2,0,0,3,Meal Plan 1,0,Room_Type 1,57,2018,12,8,Online,0,0,0,96.6,1,Not_Canceled
8367,INN08368,2,2,0,4,Not Selected,0,Room_Type 6,1,2017,8,11,Online,0,0,0,153.0,1,Not_Canceled
6869,INN06870,2,0,0,3,Meal Plan 1,0,Room_Type 1,112,2018,6,2,Offline,0,0,0,120.0,1,Not_Canceled
3375,INN03376,2,0,2,1,Meal Plan 1,0,Room_Type 4,10,2018,9,11,Online,0,0,0,164.0,2,Not_Canceled
31463,INN31464,2,0,2,2,Meal Plan 1,0,Room_Type 1,54,2018,11,11,Online,0,0,0,90.1,1,Not_Canceled
7285,INN07286,1,0,0,1,Not Selected,0,Room_Type 1,36,2018,10,13,Online,0,0,0,102.6,0,Canceled
35490,INN35491,2,0,0,2,Meal Plan 2,0,Room_Type 1,74,2017,9,18,Offline,0,0,0,109.0,0,Not_Canceled
23877,INN23878,2,0,2,3,Meal Plan 1,0,Room_Type 1,118,2018,7,15,Online,0,0,0,99.45,0,Canceled
33117,INN33118,2,0,2,3,Meal Plan 1,0,Room_Type 1,1,2017,8,8,Online,0,0,0,98.0,0,Not_Canceled
28875,INN28876,1,0,0,2,Meal Plan 1,0,Room_Type 1,167,2018,10,5,Offline,0,0,0,78.2,0,Canceled
13940,INN13941,2,0,2,4,Meal Plan 1,0,Room_Type 1,13,2018,12,3,Online,0,0,0,89.39,0,Not_Canceled
19689,INN19690,2,0,1,0,Meal Plan 1,0,Room_Type 1,179,2018,8,22,Online,0,0,0,114.3,0,Canceled
3799,INN03800,2,0,1,1,Meal Plan 1,0,Room_Type 1,49,2018,7,23,Online,0,0,0,135.9,1,Not_Canceled
4531,INN04532,2,0,2,1,Meal Plan 1,0,Room_Type 1,6,2017,11,22,Online,0,0,0,111.67,0,Not_Canceled
11026,INN11027,1,0,2,4,Meal Plan 1,0,Room_Type 1,245,2018,7,6,Offline,0,0,0,110.0,0,Canceled
30829,INN30830,2,0,1,1,Meal Plan 1,0,Room_Type 1,31,2018,10,15,Offline,0,0,0,85.0,0,Not_Canceled
26178,INN26179,1,0,0,2,Meal Plan 1,0,Room_Type 1,86,2017,9,24,Offline,0,0,0,87.5,0,Not_Canceled
19378,INN19379,2,0,1,0,Not Selected,0,Room_Type 1,0,2018,5,29,Online,0,0,0,99.0,0,Not_Canceled
33291,INN33292,2,1,1,0,Meal Plan 1,0,Room_Type 4,23,2018,5,22,Online,0,0,0,173.5,1,Not_Canceled
117,INN00118,2,1,2,5,Meal Plan 1,0,Room_Type 1,105,2018,11,12,Online,0,0,0,102.83,3,Not_Canceled
13674,INN13675,2,2,0,2,Not Selected,1,Room_Type 6,1,2017,8,11,Online,0,0,0,162.0,0,Not_Canceled
9977,INN09978,2,0,2,1,Meal Plan 1,0,Room_Type 1,32,2018,5,8,Online,0,0,0,126.9,0,Canceled
8335,INN08336,2,0,2,2,Meal Plan 1,0,Room_Type 1,46,2018,11,12,Offline,0,0,0,75.0,0,Not_Canceled
10638,INN10639,2,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Offline,0,0,0,101.5,0,Canceled
238,INN00239,2,0,2,2,Not Selected,0,Room_Type 1,35,2018,12,2,Online,0,0,0,74.8,2,Not_Canceled
35383,INN35384,1,0,0,3,Meal Plan 1,0,Room_Type 1,133,2018,6,9,Online,0,0,0,121.5,1,Not_Canceled
7151,INN07152,2,0,0,3,Meal Plan 2,0,Room_Type 1,34,2017,9,23,Online,0,0,0,224.67,0,Canceled
29517,INN29518,2,0,0,2,Meal Plan 2,0,Room_Type 1,292,2018,7,21,Offline,0,0,0,115.0,0,Canceled
2262,INN02263,2,0,1,2,Meal Plan 1,0,Room_Type 1,1,2017,11,27,Offline,0,0,0,80.0,0,Not_Canceled
5160,INN05161,1,0,0,2,Meal Plan 1,0,Room_Type 1,4,2017,12,8,Corporate,0,0,0,65.0,0,Not_Canceled
24266,INN24267,3,0,0,3,Meal Plan 1,0,Room_Type 4,58,2018,3,31,Online,0,0,0,123.3,2,Not_Canceled
547,INN00548,2,0,0,2,Meal Plan 2,0,Room_Type 1,256,2018,6,15,Online,0,0,0,112.0,1,Canceled
17872,INN17873,2,0,2,4,Meal Plan 1,0,Room_Type 4,122,2018,9,7,Online,0,0,0,144.9,3,Not_Canceled
26583,INN26584,2,0,0,3,Meal Plan 1,0,Room_Type 1,204,2018,5,5,Offline,0,0,0,100.0,0,Canceled
24378,INN24379,2,0,0,3,Meal Plan 1,0,Room_Type 1,123,2017,12,29,Online,0,0,0,72.25,2,Canceled
11050,INN11051,2,0,2,4,Meal Plan 1,0,Room_Type 4,91,2018,10,20,Online,0,0,0,127.65,1,Canceled
35665,INN35666,2,0,2,2,Meal Plan 1,0,Room_Type 4,47,2018,9,4,Online,0,0,0,117.45,1,Not_Canceled
22211,INN22212,2,0,1,2,Meal Plan 1,0,Room_Type 2,228,2018,7,29,Online,0,0,0,76.85,1,Not_Canceled
5419,INN05420,2,0,2,0,Meal Plan 1,0,Room_Type 1,48,2018,9,11,Offline,0,0,0,85.5,0,Not_Canceled
14148,INN14149,2,0,1,0,Meal Plan 1,0,Room_Type 1,1,2018,6,26,Online,0,0,0,109.0,1,Not_Canceled
31532,INN31533,2,0,0,1,Not Selected,0,Room_Type 1,23,2018,9,8,Online,0,0,0,118.0,0,Canceled
32558,INN32559,2,0,0,2,Meal Plan 2,0,Room_Type 1,74,2017,9,18,Offline,0,0,0,109.0,0,Not_Canceled
25355,INN25356,2,2,1,2,Meal Plan 1,0,Room_Type 6,47,2018,4,15,Online,0,0,0,173.12,2,Not_Canceled
8392,INN08393,2,0,1,3,Meal Plan 1,0,Room_Type 1,186,2018,7,21,Online,0,0,0,90.95,1,Not_Canceled
4412,INN04413,2,0,2,3,Meal Plan 1,0,Room_Type 1,245,2018,10,13,Online,0,0,0,106.59,0,Canceled
28850,INN28851,1,0,1,3,Meal Plan 1,0,Room_Type 4,10,2018,9,26,Aviation,1,0,4,110.0,0,Not_Canceled
32502,INN32503,1,0,0,2,Not Selected,0,Room_Type 1,18,2018,9,23,Online,0,0,0,149.0,2,Not_Canceled
4302,INN04303,2,0,0,1,Meal Plan 1,0,Room_Type 1,52,2018,5,21,Online,0,0,0,126.9,2,Not_Canceled
26098,INN26099,2,0,2,1,Meal Plan 2,0,Room_Type 1,5,2017,8,15,Offline,0,0,0,94.5,0,Not_Canceled
11195,INN11196,2,1,2,4,Meal Plan 1,0,Room_Type 1,37,2018,3,23,Online,0,0,0,127.8,2,Canceled
6062,INN06063,2,0,2,5,Meal Plan 1,0,Room_Type 1,196,2017,8,16,Online,0,0,0,55.96,2,Not_Canceled
19682,INN19683,2,0,1,1,Not Selected,0,Room_Type 1,75,2018,6,4,Online,0,0,0,89.28,0,Not_Canceled
9046,INN09047,2,0,1,3,Meal Plan 1,0,Room_Type 1,100,2018,5,19,Online,0,0,0,136.0,1,Not_Canceled
16311,INN16312,1,0,0,4,Meal Plan 1,0,Room_Type 4,20,2018,12,28,Online,0,0,0,131.35,1,Not_Canceled
20009,INN20010,3,0,1,4,Meal Plan 1,0,Room_Type 4,12,2018,3,30,Online,0,0,0,161.0,0,Canceled
14300,INN14301,2,0,1,2,Not Selected,0,Room_Type 1,5,2018,8,26,Online,0,0,0,96.76,1,Not_Canceled
23950,INN23951,2,0,2,2,Meal Plan 1,0,Room_Type 1,87,2018,6,11,Offline,0,0,0,80.75,0,Not_Canceled
32269,INN32270,2,0,2,0,Not Selected,0,Room_Type 1,155,2018,8,28,Online,0,0,0,86.4,0,Canceled
34520,INN34521,2,0,0,3,Meal Plan 1,0,Room_Type 1,90,2018,5,10,Offline,0,0,0,75.0,0,Not_Canceled
16491,INN16492,2,0,1,3,Meal Plan 1,0,Room_Type 1,42,2018,3,24,Online,0,0,0,118.16,0,Not_Canceled
25535,INN25536,1,0,0,2,Meal Plan 1,0,Room_Type 1,14,2017,10,15,Offline,0,0,0,100.0,0,Not_Canceled
32610,INN32611,2,0,0,2,Meal Plan 2,0,Room_Type 1,291,2018,8,19,Offline,0,0,0,115.0,0,Canceled
33353,INN33354,2,0,1,2,Not Selected,0,Room_Type 1,164,2018,10,17,Online,0,0,0,108.0,0,Canceled
15482,INN15483,2,0,2,2,Meal Plan 1,0,Room_Type 1,75,2018,9,17,Offline,0,0,0,80.75,0,Not_Canceled
13565,INN13566,2,1,2,3,Meal Plan 1,0,Room_Type 1,153,2018,8,20,Online,0,0,0,114.75,1,Canceled
28225,INN28226,1,0,0,1,Meal Plan 1,0,Room_Type 4,65,2017,11,18,Online,0,0,0,81.9,2,Not_Canceled
7843,INN07844,2,0,0,1,Meal Plan 2,0,Room_Type 1,72,2017,9,18,Offline,0,0,0,108.0,0,Not_Canceled
7022,INN07023,2,0,0,3,Meal Plan 2,0,Room_Type 1,71,2018,5,10,Offline,0,0,0,126.0,1,Not_Canceled
16874,INN16875,2,0,0,2,Meal Plan 2,0,Room_Type 1,292,2018,7,21,Offline,0,0,0,115.0,0,Canceled
16588,INN16589,2,0,0,2,Meal Plan 1,0,Room_Type 4,40,2018,10,5,Online,0,0,0,139.5,0,Canceled
31350,INN31351,1,0,2,1,Meal Plan 1,0,Room_Type 1,116,2018,2,28,Offline,0,0,0,61.0,0,Canceled
16360,INN16361,2,0,0,1,Meal Plan 1,0,Room_Type 4,19,2018,8,10,Online,0,0,0,166.0,1,Canceled
5741,INN05742,1,0,1,0,Meal Plan 1,0,Room_Type 1,6,2018,8,8,Corporate,0,0,0,65.0,0,Canceled
27655,INN27656,2,0,2,2,Not Selected,0,Room_Type 1,44,2018,12,2,Online,0,0,0,74.8,1,Not_Canceled
20862,INN20863,3,0,2,1,Meal Plan 1,0,Room_Type 1,46,2018,11,19,Online,0,0,0,128.6,2,Not_Canceled
2939,INN02940,1,0,0,2,Meal Plan 1,0,Room_Type 1,181,2018,10,11,Online,0,0,0,120.0,0,Canceled
30176,INN30177,2,0,0,3,Meal Plan 1,0,Room_Type 1,6,2017,9,3,Online,0,0,0,117.67,2,Not_Canceled
14101,INN14102,2,0,0,1,Meal Plan 1,0,Room_Type 1,92,2018,11,11,Offline,0,0,0,90.0,0,Not_Canceled
30197,INN30198,2,0,4,6,Not Selected,0,Room_Type 1,186,2018,9,10,Online,0,0,0,84.43,0,Canceled
33467,INN33468,2,0,2,4,Meal Plan 1,0,Room_Type 1,123,2018,6,16,Online,0,0,0,116.59,2,Not_Canceled
14354,INN14355,1,0,1,2,Meal Plan 1,0,Room_Type 1,3,2018,5,2,Offline,0,0,0,92.7,0,Not_Canceled
36060,INN36061,1,0,0,2,Meal Plan 2,0,Room_Type 1,256,2018,6,15,Offline,0,0,0,90.0,0,Not_Canceled
9129,INN09130,2,1,0,3,Meal Plan 1,0,Room_Type 1,60,2018,3,31,Online,0,0,0,107.1,1,Canceled
1963,INN01964,2,0,1,2,Meal Plan 1,0,Room_Type 1,167,2018,8,26,Online,0,0,0,90.9,0,Canceled
5113,INN05114,1,0,0,2,Meal Plan 1,0,Room_Type 1,172,2018,6,24,Online,0,0,0,95.0,0,Canceled
20023,INN20024,2,0,0,2,Not Selected,0,Room_Type 1,102,2018,7,26,Online,0,0,0,94.5,1,Canceled
34829,INN34830,2,0,0,1,Meal Plan 1,0,Room_Type 5,0,2017,10,2,Complementary,0,0,0,0.0,1,Not_Canceled
666,INN00667,1,0,0,1,Meal Plan 2,0,Room_Type 1,72,2017,9,18,Offline,0,0,0,84.0,0,Not_Canceled
17835,INN17836,2,0,2,3,Meal Plan 1,0,Room_Type 1,359,2018,10,14,Offline,0,0,0,78.0,1,Not_Canceled
29864,INN29865,2,0,0,1,Not Selected,0,Room_Type 1,1,2018,7,7,Online,0,0,0,149.0,0,Canceled
15147,INN15148,3,0,1,4,Meal Plan 1,0,Room_Type 4,195,2018,9,5,Online,0,0,0,140.25,0,Canceled
3488,INN03489,1,0,1,2,Meal Plan 1,0,Room_Type 1,6,2018,2,22,Online,0,0,0,93.0,0,Not_Canceled
34892,INN34893,2,0,0,3,Meal Plan 1,1,Room_Type 1,51,2018,3,15,Online,0,0,0,90.9,1,Not_Canceled
13588,INN13589,2,0,2,1,Meal Plan 2,0,Room_Type 1,117,2017,8,1,Offline,0,0,0,94.5,0,Not_Canceled
6426,INN06427,2,0,0,3,Meal Plan 1,0,Room_Type 1,1,2018,3,15,Offline,0,0,0,82.0,1,Not_Canceled
15138,INN15139,2,0,0,2,Meal Plan 1,0,Room_Type 4,43,2018,10,12,Online,0,0,0,139.5,2,Not_Canceled
3279,INN03280,1,0,2,7,Meal Plan 1,0,Room_Type 1,87,2018,9,2,Offline,0,0,0,85.0,1,Not_Canceled
284,INN00285,1,0,1,4,Meal Plan 1,0,Room_Type 1,113,2018,9,7,Online,0,0,0,118.8,0,Canceled
16964,INN16965,2,0,0,2,Meal Plan 2,0,Room_Type 1,74,2017,9,18,Offline,0,0,0,109.0,0,Not_Canceled
1512,INN01513,2,0,1,3,Meal Plan 1,0,Room_Type 1,15,2017,9,10,Online,0,0,0,116.75,0,Canceled
6035,INN06036,2,0,0,3,Meal Plan 1,0,Room_Type 1,271,2018,9,21,Online,0,0,0,101.33,1,Canceled
4087,INN04088,3,0,0,2,Meal Plan 1,0,Room_Type 4,96,2018,10,26,Online,0,0,0,110.97,0,Canceled
2870,INN02871,1,0,0,2,Meal Plan 1,0,Room_Type 1,103,2018,4,19,Online,0,0,0,115.0,0,Canceled
19598,INN19599,1,0,0,2,Meal Plan 1,0,Room_Type 1,1,2017,8,11,Corporate,0,0,0,70.0,0,Canceled
12404,INN12405,2,0,0,1,Meal Plan 1,0,Room_Type 1,79,2017,9,18,Online,0,0,0,89.25,0,Canceled
17535,INN17536,2,0,2,1,Meal Plan 1,0,Room_Type 1,158,2018,9,17,Offline,0,0,0,80.75,0,Not_Canceled
4616,INN04617,2,0,1,3,Not Selected,0,Room_Type 1,38,2018,6,27,Offline,0,0,0,63.75,0,Not_Canceled
33827,INN33828,1,0,0,2,Meal Plan 1,0,Room_Type 1,103,2018,4,19,Offline,0,0,0,115.0,0,Canceled
25959,INN25960,2,0,0,3,Meal Plan 2,0,Room_Type 1,88,2018,5,3,Offline,0,0,0,117.0,1,Not_Canceled
29472,INN29473,2,0,0,1,Not Selected,0,Room_Type 1,184,2018,8,13,Online,0,0,0,103.5,1,Canceled
28293,INN28294,2,0,1,1,Meal Plan 2,0,Room_Type 1,301,2018,7,30,Offline,0,0,0,115.0,1,Canceled
16462,INN16463,2,0,0,2,Meal Plan 1,0,Room_Type 4,65,2018,9,9,Online,0,0,0,149.4,1,Canceled
31282,INN31283,1,0,0,2,Meal Plan 1,0,Room_Type 1,32,2017,11,20,Offline,0,0,0,73.0,0,Not_Canceled
7012,INN07013,2,1,0,1,Meal Plan 1,0,Room_Type 1,2,2018,7,1,Online,0,0,0,167.0,1,Not_Canceled
31075,INN31076,2,0,1,5,Meal Plan 1,0,Room_Type 1,1,2017,8,4,Online,0,0,0,80.0,2,Not_Canceled
17804,INN17805,2,0,2,4,Meal Plan 1,0,Room_Type 4,188,2018,9,28,Online,0,0,0,134.4,1,Canceled
4501,INN04502,2,1,2,0,Meal Plan 1,0,Room_Type 1,208,2018,8,21,Online,0,0,0,112.5,2,Canceled
28404,INN28405,2,0,0,1,Meal Plan 1,1,Room_Type 1,138,2018,5,7,Online,0,0,0,114.3,1,Not_Canceled
16081,INN16082,2,0,1,1,Meal Plan 1,1,Room_Type 4,66,2018,3,19,Online,0,0,0,114.3,1,Not_Canceled
18646,INN18647,2,0,0,2,Meal Plan 1,0,Room_Type 4,89,2018,7,14,Online,0,0,0,127.8,1,Canceled
5317,INN05318,2,0,0,1,Not Selected,0,Room_Type 1,48,2018,6,21,Online,0,0,0,89.1,1,Not_Canceled
36042,INN36043,2,0,1,3,Meal Plan 1,0,Room_Type 1,158,2018,6,30,Online,0,0,0,90.95,1,Canceled
14031,INN14032,2,0,2,2,Meal Plan 1,0,Room_Type 4,207,2018,8,7,Online,0,0,0,99.45,0,Canceled
21705,INN21706,2,0,1,1,Meal Plan 1,0,Room_Type 1,45,2018,1,23,Online,0,0,0,79.8,0,Not_Canceled
9210,INN09211,2,0,1,2,Meal Plan 1,0,Room_Type 4,52,2018,5,27,Online,0,0,0,108.11,2,Not_Canceled
11024,INN11025,2,0,0,1,Not Selected,0,Room_Type 1,50,2018,9,2,Online,0,0,0,99.0,0,Canceled
32756,INN32757,2,0,2,1,Meal Plan 1,0,Room_Type 4,199,2018,8,14,Online,0,0,0,115.8,1,Canceled
407,INN00408,2,1,1,3,Meal Plan 1,0,Room_Type 6,124,2018,12,26,Online,0,0,0,156.61,2,Canceled
29814,INN29815,2,0,2,5,Meal Plan 1,0,Room_Type 1,118,2018,9,3,Offline,0,0,0,99.28,0,Not_Canceled
23920,INN23921,2,0,0,3,Meal Plan 1,0,Room_Type 1,44,2018,2,17,Offline,0,0,0,75.0,0,Not_Canceled
32370,INN32371,1,0,0,1,Meal Plan 1,0,Room_Type 1,22,2017,11,17,Corporate,0,0,0,62.0,0,Not_Canceled
25155,INN25156,2,0,1,2,Not Selected,0,Room_Type 1,49,2018,11,21,Online,0,0,0,79.2,1,Canceled
4749,INN04750,2,1,2,5,Meal Plan 1,0,Room_Type 1,150,2018,9,18,Online,0,0,0,91.12,0,Not_Canceled
1154,INN01155,1,0,0,4,Not Selected,0,Room_Type 1,12,2018,11,9,Online,0,0,0,120.06,1,Not_Canceled
17158,INN17159,2,0,1,2,Meal Plan 1,0,Room_Type 4,62,2018,4,1,Online,0,0,0,106.2,0,Not_Canceled
24493,INN24494,2,0,2,4,Meal Plan 2,0,Room_Type 1,327,2017,9,9,Offline,0,0,0,88.0,1,Not_Canceled
4693,INN04694,2,1,1,1,Meal Plan 1,0,Room_Type 1,8,2018,8,13,Online,0,0,0,159.5,0,Not_Canceled
21230,INN21231,1,0,0,2,Meal Plan 1,0,Room_Type 1,26,2018,11,16,Corporate,0,0,0,77.0,0,Not_Canceled
2920,INN02921,2,0,0,5,Meal Plan 1,0,Room_Type 4,120,2018,8,9,Online,0,0,0,127.8,1,Not_Canceled
5146,INN05147,2,0,0,3,Meal Plan 1,0,Room_Type 1,92,2017,11,26,Online,0,0,0,72.25,1,Canceled
29449,INN29450,2,0,0,3,Meal Plan 1,0,Room_Type 2,166,2018,4,21,Online,0,0,0,73.6,2,Not_Canceled
27424,INN27425,2,0,0,3,Meal Plan 1,0,Room_Type 1,183,2018,9,8,Offline,0,0,0,110.0,0,Canceled
502,INN00503,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,10,17,Corporate,0,0,0,95.0,0,Not_Canceled
11209,INN11210,2,0,1,1,Meal Plan 1,0,Room_Type 1,29,2018,12,17,Online,0,0,0,104.0,0,Canceled
18712,INN18713,2,0,1,2,Not Selected,0,Room_Type 1,97,2018,4,25,Online,0,0,0,85.5,0,Not_Canceled
35243,INN35244,2,0,0,2,Meal Plan 1,0,Room_Type 1,26,2018,2,19,Online,0,0,0,91.0,0,Canceled
11386,INN11387,2,0,2,1,Meal Plan 1,0,Room_Type 1,2,2018,12,3,Online,0,0,0,109.0,1,Not_Canceled
8950,INN08951,2,0,1,0,Not Selected,0,Room_Type 1,33,2018,2,15,Online,0,0,0,67.5,0,Canceled
15079,INN15080,3,0,1,0,Meal Plan 1,1,Room_Type 4,45,2018,10,17,Online,0,0,0,185.4,2,Not_Canceled
9693,INN09694,3,0,1,3,Meal Plan 1,0,Room_Type 4,133,2018,10,31,Online,0,0,0,122.63,0,Canceled
1883,INN01884,2,0,0,1,Meal Plan 2,0,Room_Type 2,110,2017,7,23,Offline,0,0,0,98.2,1,Not_Canceled
16274,INN16275,2,0,0,1,Not Selected,0,Room_Type 1,13,2018,2,13,Online,0,0,0,79.0,1,Not_Canceled
32947,INN32948,2,0,0,5,Meal Plan 1,0,Room_Type 4,40,2018,8,23,Online,0,0,0,149.4,0,Not_Canceled
21242,INN21243,2,0,1,3,Meal Plan 1,0,Room_Type 1,240,2018,10,27,Online,0,0,0,90.95,2,Not_Canceled
11965,INN11966,2,0,2,1,Not Selected,0,Room_Type 1,92,2018,11,12,Online,0,0,0,79.2,2,Canceled
11593,INN11594,2,2,1,0,Meal Plan 1,0,Room_Type 6,8,2018,4,11,Online,0,0,0,181.0,1,Not_Canceled
2418,INN02419,2,0,0,4,Meal Plan 1,0,Room_Type 1,235,2018,9,28,Online,0,0,0,119.85,0,Canceled
29800,INN29801,1,0,0,1,Meal Plan 1,0,Room_Type 1,19,2017,10,7,Corporate,0,0,0,85.5,0,Not_Canceled
20733,INN20734,2,0,2,2,Not Selected,0,Room_Type 1,198,2018,7,31,Online,0,0,0,62.18,1,Not_Canceled
7765,INN07766,2,0,1,2,Meal Plan 1,0,Room_Type 1,12,2018,1,8,Online,0,0,0,87.0,1,Not_Canceled
3297,INN03298,1,0,0,1,Meal Plan 1,0,Room_Type 1,10,2018,1,15,Online,0,0,0,72.9,0,Not_Canceled
9553,INN09554,2,0,2,3,Meal Plan 1,0,Room_Type 1,33,2018,9,8,Online,0,0,0,135.9,0,Canceled
29106,INN29107,3,0,1,1,Meal Plan 1,0,Room_Type 4,1,2018,12,26,Online,0,0,0,161.0,1,Not_Canceled
