,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
19765,INN19766,2,0,2,1,Not Selected,0,Room_Type 1,3,2017,10,10,Online,0,0,0,116.4,0,Not_Canceled
25787,INN25788,2,0,0,0,Not Selected,0,Room_Type 1,33,2017,10,7,Online,0,0,0,0.0,0,Not_Canceled
13905,INN13906,3,0,0,2,Meal Plan 1,0,Room_Type 4,23,2018,7,1,Online,0,0,0,187.0,2,Not_Canceled
29236,INN29237,3,0,0,2,Meal Plan 1,0,Room_Type 4,1,2018,12,29,Online,0,0,0,188.0,1,Not_Canceled
11073,INN11074,2,0,2,1,Meal Plan 1,0,Room_Type 1,205,2018,5,29,Offline,0,0,0,90.0,0,Canceled
35426,INN35427,2,1,2,5,Meal Plan 1,0,Room_Type 1,149,2018,6,28,Online,0,0,0,106.25,0,Canceled
16667,INN16668,2,0,0,2,Meal Plan 1,0,Room_Type 1,40,2018,11,11,Online,0,0,0,100.1,1,Not_Canceled
35854,INN35855,1,0,0,1,Meal Plan 1,0,Room_Type 1,8,2018,5,25,Online,0,0,0,89.25,1,Not_Canceled
5238,INN05239,2,0,0,3,Meal Plan 1,0,Room_Type 1,144,2018,9,22,Online,0,0,0,129.6,1,Not_Canceled
1943,INN01944,2,0,0,1,Meal Plan 1,0,Room_Type 1,443,2018,4,29,Online,0,0,0,65.0,0,Canceled
3350,INN03351,3,0,2,5,Meal Plan 1,0,Room_Type 4,111,2018,6,13,Online,0,0,0,150.45,2,Canceled
28583,INN28584,2,0,1,4,Not Selected,0,Room_Type 4,10,2018,6,13,Online,0,0,0,113.24,0,Not_Canceled
8839,INN08840,2,1,2,1,Meal Plan 1,0,Room_Type 1,68,2018,11,27,Online,0,0,0,109.8,0,Canceled
33113,INN33114,2,0,0,3,Meal Plan 1,0,Room_Type 1,36,2018,11,1,Offline,0,0,0,75.0,0,Not_Canceled
8597,INN08598,2,0,0,2,Meal Plan 1,0,Room_Type 1,8,2018,11,25,Online,0,0,0,90.0,1,Not_Canceled
23176,INN23177,2,0,1,2,Meal Plan 2,0,Room_Type 2,161,2018,3,25,Offline,0,0,0,130.0,0,Canceled
18797,INN18798,2,0,2,5,Meal Plan 1,0,Room_Type 1,150,2018,3,19,Offline,0,0,0,41.43,2,Not_Canceled
24413,INN24414,3,0,0,3,Meal Plan 1,0,Room_Type 4,112,2018,12,27,Online,0,0,0,131.13,0,Canceled
16576,INN16577,2,0,0,2,Meal Plan 1,0,Room_Type 1,317,2018,9,15,Offline,0,0,0,120.0,0,Canceled
3149,INN03150,2,0,0,1,Not Selected,0,Room_Type 1,4,2018,8,24,Online,0,0,0,119.0,1,Not_Canceled
28415,INN28416,2,0,1,2,Meal Plan 1,0,Room_Type 1,230,2018,9,2,Online,0,0,0,96.3,1,Not_Canceled
532,INN00533,2,0,0,3,Meal Plan 1,0,Room_Type 1,13,2017,12,17,Offline,0,0,0,58.0,0,Not_Canceled
23171,INN23172,1,0,0,2,Meal Plan 1,0,Room_Type 1,1,2017,12,2,Online,0,0,0,63.75,1,Not_Canceled
19377,INN19378,2,0,1,0,Meal Plan 1,0,Room_Type 1,286,2018,10,16,Offline,0,0,0,90.0,0,Canceled
9746,INN09747,2,0,0,2,Not Selected,0,Room_Type 1,160,2018,8,4,Online,0,0,0,94.5,0,Canceled
22351,INN22352,3,0,0,3,Meal Plan 1,0,Room_Type 4,100,2018,7,21,Online,0,0,0,143.7,0,Canceled
10186,INN10187,1,0,0,3,Meal Plan 1,0,Room_Type 4,11,2018,6,14,Corporate,0,0,0,90.0,0,Not_Canceled
17022,INN17023,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,Offline,0,0,0,95.0,0,Not_Canceled
7681,INN07682,2,1,1,4,Meal Plan 1,0,Room_Type 1,50,2018,2,22,Online,0,0,0,69.57,2,Not_Canceled
31360,INN31361,2,0,2,2,Meal Plan 1,0,Room_Type 1,11,2017,10,23,Offline,0,0,0,88.5,0,Not_Canceled
26896,INN26897,1,0,0,2,Meal Plan 1,0,Room_Type 1,19,2018,6,22,Corporate,0,0,0,90.0,0,Not_Canceled
19606,INN19607,2,0,1,3,Meal Plan 1,0,Room_Type 1,213,2018,10,17,Online,0,0,0,99.71,2,Not_Canceled
2193,INN02194,2,1,2,1,Meal Plan 1,0,Room_Type 1,173,2018,9,10,Online,0,0,0,143.1,0,Canceled
34095,INN34096,1,0,1,2,Meal Plan 1,0,Room_Type 1,41,2018,10,3,Online,0,0,0,105.3,0,Canceled
24120,INN24121,2,0,0,1,Not Selected,0,Room_Type 1,1,2018,2,6,Online,0,0,0,81.0,1,Not_Canceled
14045,INN14046,2,0,1,2,Meal Plan 1,0,Room_Type 1,86,2018,5,20,Offline,0,0,0,65.0,1,Not_Canceled
5747,INN05748,2,0,2,2,Not Selected,0,Room_Type 1,52,2018,12,4,Online,0,0,0,74.8,0,Canceled
36091,INN36092,2,1,0,3,Meal Plan 1,0,Room_Type 1,56,2018,11,2,Online,0,0,0,126.0,2,Not_Canceled
3262,INN03263,2,0,0,1,Meal Plan 1,0,Room_Type 1,55,2018,4,6,Offline,0,0,0,80.0,0,Not_Canceled
29132,INN29133,1,0,0,2,Meal Plan 1,0,Room_Type 1,15,2017,11,6,Online,0,0,0,81.0,1,Not_Canceled
9178,INN09179,2,0,0,2,Meal Plan 1,0,Room_Type 1,59,2018,11,11,Offline,0,0,0,75.0,0,Not_Canceled
20637,INN20638,2,0,1,2,Not Selected,0,Room_Type 1,18,2018,3,18,Online,0,0,0,97.0,0,Canceled
11708,INN11709,2,0,1,2,Meal Plan 1,0,Room_Type 4,35,2017,10,26,Offline,0,0,0,75.0,1,Not_Canceled
12348,INN12349,2,0,0,3,Meal Plan 1,0,Room_Type 1,213,2018,6,7,Offline,0,0,0,130.0,0,Canceled
26978,INN26979,2,0,0,3,Meal Plan 1,0,Room_Type 4,11,2018,6,14,Corporate,0,0,0,90.0,0,Canceled
14418,INN14419,2,2,0,4,Meal Plan 1,0,Room_Type 6,9,2018,5,11,Online,0,0,0,221.0,0,Canceled
32046,INN32047,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2017,12,3,Corporate,1,0,2,65.0,0,Not_Canceled
21082,INN21083,2,0,1,2,Meal Plan 1,0,Room_Type 1,6,2017,10,30,Online,0,0,0,87.27,1,Not_Canceled
20662,INN20663,2,0,0,3,Meal Plan 1,0,Room_Type 1,213,2018,6,7,Offline,0,0,0,130.0,0,Canceled
32972,INN32973,2,0,1,4,Meal Plan 1,0,Room_Type 4,26,2017,10,14,Offline,0,0,0,75.0,0,Not_Canceled
799,INN00800,2,0,1,2,Meal Plan 1,0,Room_Type 4,71,2018,10,21,Online,0,0,0,101.87,1,Not_Canceled
21254,INN21255,1,0,1,2,Meal Plan 1,0,Room_Type 1,6,2018,5,23,Online,0,0,0,97.02,1,Not_Canceled
32407,INN32408,2,0,1,4,Meal Plan 1,0,Room_Type 1,174,2018,7,11,Online,0,0,0,90.95,0,Canceled
14694,INN14695,1,0,0,2,Meal Plan 2,0,Room_Type 1,256,2018,6,15,Offline,0,0,0,90.0,0,Not_Canceled
32782,INN32783,2,0,0,3,Meal Plan 1,0,Room_Type 1,50,2018,1,14,Offline,0,0,0,52.0,2,Not_Canceled
9102,INN09103,1,0,0,2,Meal Plan 1,0,Room_Type 1,164,2017,10,2,Offline,0,0,0,100.0,0,Not_Canceled
17898,INN17899,2,0,0,4,Not Selected,0,Room_Type 1,195,2018,8,24,Online,0,0,0,89.25,1,Canceled
24029,INN24030,2,0,2,1,Meal Plan 1,0,Room_Type 1,172,2018,7,3,Online,0,0,0,96.3,1,Not_Canceled
3425,INN03426,2,0,2,7,Meal Plan 1,0,Room_Type 1,161,2018,6,28,Online,0,0,0,66.53,1,Not_Canceled
15073,INN15074,2,0,1,2,Not Selected,0,Room_Type 1,54,2018,11,11,Online,0,0,0,64.37,1,Not_Canceled
21854,INN21855,2,0,0,1,Meal Plan 1,0,Room_Type 1,14,2018,12,28,Online,0,0,0,138.0,1,Not_Canceled
11656,INN11657,2,0,1,2,Meal Plan 1,1,Room_Type 1,11,2017,12,11,Online,0,0,0,96.0,2,Not_Canceled
6202,INN06203,2,0,0,1,Not Selected,0,Room_Type 1,10,2018,7,29,Online,0,0,0,99.0,1,Not_Canceled
17127,INN17128,2,1,0,4,Meal Plan 2,0,Room_Type 1,81,2018,12,7,Online,0,0,0,152.55,1,Not_Canceled
22898,INN22899,2,2,1,2,Meal Plan 1,0,Room_Type 6,41,2018,9,5,Online,0,0,0,174.0,0,Canceled
29015,INN29016,2,0,0,2,Meal Plan 1,0,Room_Type 1,245,2018,6,17,Offline,0,0,0,75.0,0,Canceled
25388,INN25389,2,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Offline,0,0,0,101.5,0,Canceled
3588,INN03589,2,0,2,8,Meal Plan 1,0,Room_Type 1,269,2018,10,18,Online,0,0,0,67.77,1,Not_Canceled
29562,INN29563,2,0,2,5,Meal Plan 1,0,Room_Type 1,139,2018,8,22,Online,0,0,0,107.87,1,Not_Canceled
27664,INN27665,1,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,95.0,0,Not_Canceled
25319,INN25320,2,0,0,2,Meal Plan 1,0,Room_Type 1,220,2018,9,28,Online,0,0,0,126.9,1,Canceled
29595,INN29596,2,0,1,1,Meal Plan 1,0,Room_Type 1,0,2017,9,12,Online,0,0,0,126.0,0,Canceled
7431,INN07432,2,0,0,1,Meal Plan 1,0,Room_Type 1,41,2018,12,27,Offline,0,0,0,65.0,1,Not_Canceled
13162,INN13163,2,1,0,1,Meal Plan 1,0,Room_Type 4,79,2018,12,27,Online,0,0,0,126.0,2,Not_Canceled
23610,INN23611,2,0,0,1,Meal Plan 1,0,Room_Type 1,20,2018,10,6,Online,0,0,0,139.0,1,Not_Canceled
16065,INN16066,2,0,0,2,Meal Plan 2,0,Room_Type 1,320,2018,8,18,Offline,0,0,0,115.0,1,Canceled
16254,INN16255,2,0,0,2,Meal Plan 2,0,Room_Type 1,74,2017,9,18,Offline,0,0,0,109.0,0,Not_Canceled
27919,INN27920,2,0,1,3,Meal Plan 1,0,Room_Type 4,85,2017,12,17,Offline,0,0,0,60.0,0,Not_Canceled
22251,INN22252,2,0,0,3,Meal Plan 2,0,Room_Type 1,150,2018,6,16,Offline,0,0,0,90.0,1,Not_Canceled
11302,INN11303,2,0,2,2,Meal Plan 1,0,Room_Type 1,226,2018,10,29,Offline,0,0,0,70.0,1,Not_Canceled
18232,INN18233,2,0,0,1,Meal Plan 1,0,Room_Type 1,10,2018,2,19,Offline,0,0,0,72.1,0,Not_Canceled
12454,INN12455,2,2,2,1,Meal Plan 1,0,Room_Type 6,146,2018,6,12,Online,0,0,0,178.2,3,Not_Canceled
20576,INN20577,3,0,0,3,Meal Plan 2,0,Room_Type 1,88,2018,5,3,Offline,0,0,0,138.0,1,Not_Canceled
28305,INN28306,3,0,1,1,Meal Plan 2,0,Room_Type 4,33,2018,4,30,Online,0,0,0,210.6,0,Canceled
27136,INN27137,2,0,2,1,Meal Plan 1,0,Room_Type 1,45,2018,12,25,Online,0,0,0,93.6,1,Not_Canceled
34364,INN34365,3,0,2,5,Meal Plan 2,0,Room_Type 4,81,2018,7,11,Online,0,0,0,190.29,0,Not_Canceled
20606,INN20607,2,0,2,3,Meal Plan 1,0,Room_Type 1,268,2018,4,8,Offline,0,0,0,78.0,0,Canceled
26538,INN26539,2,0,2,1,Meal Plan 1,0,Room_Type 1,8,2018,7,31,Offline,0,0,0,86.53,0,Not_Canceled
19884,INN19885,2,0,1,1,Meal Plan 1,0,Room_Type 4,37,2017,12,19,Online,0,0,0,97.0,1,Not_Canceled
3937,INN03938,2,1,2,3,Meal Plan 1,0,Room_Type 1,103,2018,8,13,Online,0,0,0,134.1,0,Canceled
16499,INN16500,2,0,0,3,Meal Plan 1,0,Room_Type 1,44,2018,2,17,Offline,0,0,0,75.0,0,Not_Canceled
29906,INN29907,1,0,0,2,Meal Plan 1,0,Room_Type 1,136,2018,8,26,Online,0,0,0,90.9,0,Not_Canceled
11117,INN11118,2,0,1,1,Meal Plan 1,0,Room_Type 4,18,2018,5,7,Online,0,0,0,141.0,0,Canceled
20554,INN20555,0,2,2,1,Meal Plan 1,0,Room_Type 2,73,2018,2,21,Online,0,0,0,69.53,1,Not_Canceled
17922,INN17923,3,0,2,0,Meal Plan 1,0,Room_Type 4,39,2018,3,20,Online,0,0,0,114.3,1,Canceled
10211,INN10212,3,0,3,8,Meal Plan 1,0,Room_Type 4,34,2018,3,10,Online,0,0,0,118.96,1,Canceled
19299,INN19300,2,0,2,2,Meal Plan 1,0,Room_Type 1,204,2017,10,9,Offline,0,0,0,72.75,0,Not_Canceled
21088,INN21089,2,2,2,5,Meal Plan 2,0,Room_Type 6,101,2018,10,23,Online,0,0,0,222.17,0,Canceled
21508,INN21509,2,0,1,0,Not Selected,1,Room_Type 1,1,2018,11,28,Online,0,0,0,97.0,1,Not_Canceled
1488,INN01489,2,0,2,5,Meal Plan 1,0,Room_Type 4,97,2018,8,4,Offline,0,0,0,82.45,0,Not_Canceled
22646,INN22647,1,0,2,1,Meal Plan 1,0,Room_Type 1,68,2018,6,18,Online,0,0,0,89.53,0,Canceled
18541,INN18542,1,0,0,1,Meal Plan 1,0,Room_Type 1,7,2018,4,7,Corporate,0,0,0,91.0,0,Not_Canceled
36201,INN36202,2,0,1,0,Not Selected,0,Room_Type 1,12,2018,7,24,Online,0,0,0,139.0,0,Not_Canceled
25286,INN25287,2,0,1,2,Meal Plan 1,0,Room_Type 1,264,2018,10,28,Online,0,0,0,96.3,0,Canceled
1920,INN01921,2,0,2,2,Meal Plan 1,0,Room_Type 1,60,2018,11,25,Offline,0,0,0,75.0,0,Not_Canceled
11279,INN11280,2,0,2,1,Meal Plan 1,0,Room_Type 1,125,2018,7,9,Online,0,0,0,114.3,1,Not_Canceled
33132,INN33133,1,0,4,11,Meal Plan 1,0,Room_Type 1,68,2018,3,29,Online,0,0,0,76.22,0,Canceled
20574,INN20575,1,0,0,4,Meal Plan 1,0,Room_Type 1,5,2018,2,24,Corporate,0,0,0,80.0,0,Not_Canceled
5840,INN05841,2,0,2,7,Meal Plan 1,0,Room_Type 1,4,2017,8,12,Online,0,0,0,93.56,2,Not_Canceled
27168,INN27169,2,0,2,3,Meal Plan 1,0,Room_Type 1,276,2018,5,13,Offline,0,0,0,61.0,0,Canceled
31875,INN31876,2,0,2,5,Meal Plan 1,0,Room_Type 1,128,2018,2,5,Offline,0,0,0,43.43,1,Not_Canceled
9776,INN09777,2,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Offline,0,0,0,101.5,0,Canceled
29232,INN29233,2,0,2,2,Not Selected,0,Room_Type 1,37,2018,12,2,Online,0,0,0,74.8,1,Not_Canceled
24057,INN24058,2,0,2,2,Meal Plan 1,0,Room_Type 1,96,2018,8,14,Online,0,0,0,120.15,1,Not_Canceled
12176,INN12177,1,0,1,2,Meal Plan 1,0,Room_Type 1,6,2018,5,9,Corporate,0,0,0,99.2,0,Not_Canceled
9138,INN09139,2,0,1,2,Meal Plan 1,0,Room_Type 1,104,2018,5,16,Offline,0,0,0,75.0,0,Not_Canceled
5662,INN05663,1,0,0,1,Meal Plan 1,0,Room_Type 1,27,2018,6,29,Corporate,1,0,7,65.0,1,Not_Canceled
34291,INN34292,1,0,0,1,Not Selected,0,Room_Type 1,1,2018,11,25,Online,0,0,0,59.03,0,Not_Canceled
36048,INN36049,2,0,0,4,Meal Plan 1,0,Room_Type 4,1,2018,3,2,Online,0,0,0,116.0,1,Not_Canceled
18360,INN18361,2,0,1,2,Meal Plan 1,0,Room_Type 1,88,2018,4,4,Online,0,0,0,90.3,1,Not_Canceled
11410,INN11411,2,1,0,1,Meal Plan 1,0,Room_Type 1,91,2018,10,7,Online,0,0,0,121.5,2,Canceled
22997,INN22998,2,0,0,3,Not Selected,0,Room_Type 1,12,2018,4,27,Online,0,0,0,122.33,0,Not_Canceled
13374,INN13375,1,0,0,3,Meal Plan 1,1,Room_Type 1,8,2017,10,20,Online,0,0,0,129.0,1,Not_Canceled
10118,INN10119,2,0,1,3,Meal Plan 1,0,Room_Type 1,100,2018,5,19,Online,0,0,0,136.0,1,Not_Canceled
16443,INN16444,2,0,0,2,Not Selected,0,Room_Type 1,26,2018,2,5,Online,0,0,0,77.0,1,Not_Canceled
27744,INN27745,2,0,0,1,Meal Plan 1,0,Room_Type 1,40,2018,6,9,Online,0,0,0,108.9,1,Not_Canceled
26649,INN26650,2,0,2,1,Meal Plan 2,0,Room_Type 1,110,2017,7,25,Offline,0,0,0,94.5,0,Canceled
2370,INN02371,2,0,1,2,Meal Plan 1,0,Room_Type 4,48,2018,10,31,Online,0,0,0,94.97,1,Not_Canceled
21176,INN21177,1,0,1,3,Meal Plan 1,0,Room_Type 1,14,2017,9,14,Corporate,0,0,0,65.0,0,Not_Canceled
3506,INN03507,2,0,2,2,Meal Plan 1,0,Room_Type 1,71,2018,6,17,Offline,0,0,0,80.75,1,Not_Canceled
22493,INN22494,3,0,2,3,Meal Plan 1,0,Room_Type 1,56,2017,10,9,Online,0,0,0,99.71,2,Not_Canceled
32715,INN32716,2,0,0,2,Meal Plan 1,1,Room_Type 1,18,2018,6,8,Online,0,0,0,121.0,2,Not_Canceled
5710,INN05711,2,0,1,1,Meal Plan 1,0,Room_Type 4,44,2018,6,18,Offline,0,0,0,96.3,0,Not_Canceled
5382,INN05383,2,0,2,0,Meal Plan 2,0,Room_Type 1,386,2018,10,23,Online,0,0,0,115.0,1,Canceled
35139,INN35140,2,0,1,2,Meal Plan 1,0,Room_Type 1,302,2018,9,16,Offline,0,0,0,100.0,0,Canceled
12656,INN12657,2,0,2,2,Meal Plan 1,0,Room_Type 1,175,2017,9,11,Online,0,0,0,93.5,2,Not_Canceled
31737,INN31738,2,0,0,3,Not Selected,0,Room_Type 1,260,2018,9,22,Online,0,0,0,113.4,0,Canceled
12637,INN12638,1,0,2,4,Meal Plan 1,0,Room_Type 1,245,2018,7,6,Offline,0,0,0,110.0,0,Canceled
24219,INN24220,2,0,1,3,Not Selected,0,Room_Type 1,159,2018,9,29,Online,0,0,0,113.4,2,Canceled
27161,INN27162,3,0,2,1,Meal Plan 1,0,Room_Type 1,42,2018,3,5,Offline,0,0,0,106.2,0,Canceled
3549,INN03550,2,0,2,2,Meal Plan 1,0,Room_Type 1,135,2018,7,23,Online,0,0,0,99.45,0,Canceled
13117,INN13118,2,2,0,1,Not Selected,0,Room_Type 6,3,2017,8,11,Online,0,0,0,153.0,0,Not_Canceled
16859,INN16860,2,0,0,1,Meal Plan 1,0,Room_Type 2,194,2018,7,15,Online,0,0,0,86.75,0,Canceled
7229,INN07230,2,0,0,2,Not Selected,0,Room_Type 1,142,2018,12,22,Online,0,0,0,79.2,1,Not_Canceled
931,INN00932,1,0,0,3,Meal Plan 1,0,Room_Type 1,6,2018,11,1,Offline,0,0,0,75.0,0,Not_Canceled
7406,INN07407,2,0,0,4,Meal Plan 1,0,Room_Type 4,158,2018,5,25,Online,0,0,0,123.25,1,Canceled
4983,INN04984,2,0,0,2,Meal Plan 1,1,Room_Type 1,166,2018,9,30,Online,0,0,0,99.78,1,Not_Canceled
4367,INN04368,2,0,0,5,Meal Plan 1,0,Room_Type 1,57,2018,11,15,Offline,0,0,0,75.0,0,Not_Canceled
10297,INN10298,2,0,1,1,Meal Plan 2,0,Room_Type 1,247,2018,6,6,Offline,0,0,0,109.0,0,Canceled
13014,INN13015,2,0,0,1,Meal Plan 1,0,Room_Type 1,14,2018,6,8,Online,0,0,0,121.0,1,Not_Canceled
30580,INN30581,2,0,1,2,Not Selected,0,Room_Type 1,270,2018,9,30,Online,0,0,0,95.4,1,Canceled
22642,INN22643,2,0,2,3,Meal Plan 1,0,Room_Type 2,284,2018,10,16,Online,0,0,0,81.82,0,Canceled
9268,INN09269,2,0,0,1,Not Selected,0,Room_Type 1,0,2018,8,2,Online,0,0,0,73.81,0,Not_Canceled
27643,INN27644,2,0,1,1,Meal Plan 1,0,Room_Type 1,36,2018,2,27,Online,0,0,0,91.3,0,Not_Canceled
21954,INN21955,1,0,2,2,Meal Plan 1,0,Room_Type 1,54,2018,10,16,Offline,0,0,0,66.5,0,Not_Canceled
