,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
19010,INN19011,2,0,2,0,Meal Plan 2,0,Room_Type 1,275,2018,4,17,Offline,0,0,0,110.0,0,Canceled
14902,INN14903,2,0,0,2,Meal Plan 1,0,Room_Type 1,7,2017,8,26,Online,0,0,0,90.0,2,Not_Canceled
17072,INN17073,2,0,2,5,Meal Plan 1,0,Room_Type 1,78,2018,11,12,Online,0,0,0,90.63,2,Canceled
32880,INN32881,0,2,2,2,Meal Plan 1,0,Room_Type 2,186,2018,9,4,Online,0,0,0,112.01,1,Canceled
26019,INN26020,2,1,1,0,Meal Plan 1,0,Room_Type 1,32,2018,4,11,Online,0,0,0,121.5,0,Canceled
17496,INN17497,2,0,1,4,Meal Plan 1,0,Room_Type 4,42,2017,11,2,Offline,0,0,0,60.0,0,Not_Canceled
27061,INN27062,2,0,2,2,Meal Plan 1,0,Room_Type 1,99,2017,10,30,Offline,0,0,0,65.0,0,Canceled
17866,INN17867,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,12,13,Corporate,1,3,22,67.0,0,Not_Canceled
34725,INN34726,3,0,2,3,Meal Plan 1,0,Room_Type 4,7,2018,5,29,Online,0,0,0,141.95,2,Not_Canceled
7563,INN07564,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2017,12,29,Corporate,0,0,0,79.0,0,Not_Canceled
25810,INN25811,2,0,1,2,Meal Plan 1,0,Room_Type 1,91,2018,9,30,Offline,0,0,0,80.0,0,Not_Canceled
36195,INN36196,2,0,2,2,Meal Plan 1,0,Room_Type 1,164,2018,3,13,Online,0,0,0,90.0,2,Not_Canceled
29791,INN29792,2,0,1,3,Meal Plan 1,0,Room_Type 1,322,2018,5,19,Offline,0,0,0,80.0,0,Canceled
31216,INN31217,2,0,0,2,Meal Plan 1,0,Room_Type 1,30,2018,6,2,Offline,0,0,0,140.0,0,Not_Canceled
1716,INN01717,2,0,0,1,Meal Plan 1,0,Room_Type 1,105,2018,3,22,Online,0,0,0,78.3,0,Not_Canceled
3979,INN03980,2,0,0,2,Meal Plan 1,0,Room_Type 1,56,2018,11,11,Online,0,0,0,97.2,0,Not_Canceled
18388,INN18389,2,0,0,4,Meal Plan 1,0,Room_Type 1,26,2018,2,3,Online,0,0,0,89.0,1,Not_Canceled
35710,INN35711,2,0,2,3,Meal Plan 1,0,Room_Type 1,88,2018,5,8,Offline,0,0,0,75.0,0,Not_Canceled
1494,INN01495,2,0,2,1,Meal Plan 1,0,Room_Type 1,221,2017,10,10,Offline,0,0,0,65.0,0,Not_Canceled
33436,INN33437,3,0,1,2,Meal Plan 1,0,Room_Type 4,83,2018,8,8,Online,0,0,0,159.3,2,Not_Canceled
10046,INN10047,3,0,0,3,Meal Plan 1,0,Room_Type 4,132,2018,9,22,Online,0,0,0,162.0,2,Not_Canceled
12383,INN12384,2,0,0,1,Not Selected,0,Room_Type 1,2,2018,9,15,Online,0,0,0,114.73,2,Not_Canceled
25767,INN25768,2,1,1,0,Meal Plan 1,0,Room_Type 1,10,2018,7,24,Online,0,0,0,169.0,0,Canceled
32020,INN32021,1,0,2,2,Meal Plan 1,0,Room_Type 1,2,2018,5,15,Offline,0,0,0,66.88,0,Not_Canceled
31420,INN31421,2,0,0,5,Meal Plan 1,0,Room_Type 4,79,2018,6,7,Online,0,0,0,132.6,1,Not_Canceled
13248,INN13249,1,0,0,2,Meal Plan 1,0,Room_Type 1,164,2017,10,2,Offline,0,0,0,100.0,0,Not_Canceled
35944,INN35945,2,0,0,2,Meal Plan 2,0,Room_Type 1,39,2017,8,14,Offline,0,0,0,101.5,0,Not_Canceled
9836,INN09837,2,0,2,2,Not Selected,0,Room_Type 1,102,2018,10,30,Online,0,0,0,79.65,0,Canceled
14244,INN14245,2,0,1,3,Meal Plan 1,0,Room_Type 4,45,2017,11,9,Offline,0,0,0,60.0,0,Not_Canceled
29536,INN29537,1,0,1,1,Meal Plan 1,0,Room_Type 1,118,2018,6,6,Offline,0,0,0,110.0,0,Not_Canceled
26556,INN26557,3,0,2,2,Meal Plan 1,0,Room_Type 4,2,2018,3,27,Online,0,0,0,147.0,2,Not_Canceled
14079,INN14080,2,1,0,2,Meal Plan 1,0,Room_Type 4,2,2017,12,18,Online,0,0,0,97.0,2,Not_Canceled
6203,INN06204,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,10,12,Offline,0,0,0,120.0,0,Not_Canceled
23569,INN23570,2,0,2,1,Meal Plan 1,0,Room_Type 4,54,2018,4,10,Online,0,0,0,118.8,2,Not_Canceled
30450,INN30451,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,10,3,Corporate,1,0,1,65.0,0,Not_Canceled
5856,INN05857,2,0,1,0,Meal Plan 1,0,Room_Type 1,34,2018,9,18,Offline,0,0,0,85.5,0,Not_Canceled
22092,INN22093,2,0,1,5,Meal Plan 1,0,Room_Type 4,144,2018,8,23,Online,0,0,0,112.8,1,Not_Canceled
1781,INN01782,2,0,1,1,Meal Plan 1,0,Room_Type 1,275,2018,6,4,Online,0,0,0,62.8,0,Canceled
23994,INN23995,2,0,0,4,Meal Plan 1,0,Room_Type 1,36,2018,1,12,Online,0,0,0,60.29,0,Canceled
4329,INN04330,2,0,2,4,Not Selected,0,Room_Type 1,9,2018,11,2,Online,0,0,0,113.0,1,Not_Canceled
27794,INN27795,1,0,1,0,Meal Plan 1,0,Room_Type 1,111,2018,10,10,Offline,0,0,0,120.0,0,Canceled
8810,INN08811,2,0,0,1,Meal Plan 1,0,Room_Type 4,35,2017,12,26,Online,0,0,0,97.0,1,Not_Canceled
16836,INN16837,2,2,0,2,Meal Plan 1,0,Room_Type 6,30,2018,1,15,Online,0,0,0,150.3,1,Not_Canceled
21143,INN21144,2,0,0,3,Not Selected,0,Room_Type 1,14,2018,12,22,Online,0,0,0,84.67,0,Not_Canceled
17359,INN17360,4,0,2,1,Meal Plan 1,0,Room_Type 7,61,2018,7,10,Online,0,0,0,256.1,0,Canceled
30277,INN30278,2,0,2,4,Meal Plan 1,0,Room_Type 1,169,2018,8,5,Online,0,0,0,99.45,1,Not_Canceled
24149,INN24150,1,0,0,3,Meal Plan 1,0,Room_Type 1,71,2018,6,14,Offline,0,0,0,120.0,0,Not_Canceled
31333,INN31334,1,0,2,3,Meal Plan 1,0,Room_Type 1,85,2018,3,17,Online,0,0,0,73.95,0,Not_Canceled
13789,INN13790,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,2,3,Corporate,1,0,3,65.0,1,Not_Canceled
32775,INN32776,1,0,0,1,Meal Plan 1,1,Room_Type 1,8,2018,4,20,Corporate,0,0,0,98.0,0,Not_Canceled
4494,INN04495,1,0,0,1,Meal Plan 1,0,Room_Type 1,9,2018,10,20,Corporate,0,0,0,95.0,0,Not_Canceled
26577,INN26578,2,0,0,3,Meal Plan 1,0,Room_Type 1,142,2018,8,24,Online,0,0,0,99.3,0,Not_Canceled
15359,INN15360,2,0,1,3,Meal Plan 1,0,Room_Type 2,121,2018,2,15,Online,0,0,0,58.91,2,Not_Canceled
28849,INN28850,2,0,0,1,Meal Plan 1,0,Room_Type 4,14,2018,9,22,Online,0,0,0,184.0,0,Not_Canceled
8177,INN08178,2,0,0,1,Meal Plan 2,0,Room_Type 1,100,2017,10,16,Offline,0,0,0,108.0,0,Canceled
3935,INN03936,2,0,1,3,Meal Plan 1,0,Room_Type 1,53,2018,8,4,Online,0,0,0,135.9,0,Canceled
14184,INN14185,1,0,0,1,Meal Plan 1,0,Room_Type 2,16,2018,3,18,Online,0,0,0,103.0,1,Not_Canceled
10609,INN10610,2,0,2,1,Meal Plan 1,0,Room_Type 2,224,2018,7,24,Online,0,0,0,86.62,0,Canceled
18364,INN18365,2,0,2,0,Not Selected,0,Room_Type 1,18,2018,4,10,Online,0,0,0,106.0,0,Canceled
17219,INN17220,2,2,0,4,Meal Plan 1,0,Room_Type 6,100,2018,4,13,Online,0,0,0,154.7,1,Canceled
35258,INN35259,2,1,1,0,Meal Plan 1,1,Room_Type 1,127,2018,8,14,Online,0,0,0,139.5,0,Not_Canceled
10925,INN10926,2,0,2,2,Meal Plan 1,0,Room_Type 1,41,2018,11,27,Offline,0,0,0,68.0,0,Not_Canceled
13402,INN13403,2,0,0,1,Meal Plan 1,0,Room_Type 1,105,2018,4,6,Offline,0,0,0,75.0,0,Canceled
9597,INN09598,2,0,0,2,Meal Plan 1,1,Room_Type 1,254,2017,10,13,Online,0,0,0,98.25,1,Canceled
15597,INN15598,2,0,1,1,Meal Plan 1,0,Room_Type 1,159,2018,4,9,Offline,0,0,0,70.0,1,Not_Canceled
10625,INN10626,2,0,0,2,Not Selected,0,Room_Type 1,15,2018,10,21,Online,0,0,0,140.0,2,Not_Canceled
25874,INN25875,1,0,0,1,Not Selected,0,Room_Type 1,0,2018,12,22,Online,1,0,4,56.0,0,Not_Canceled
28882,INN28883,2,1,0,3,Meal Plan 1,0,Room_Type 1,178,2018,7,26,Online,0,0,0,112.5,1,Canceled
16713,INN16714,2,0,0,2,Meal Plan 1,0,Room_Type 1,277,2018,10,21,Online,0,0,0,96.3,2,Canceled
25918,INN25919,2,0,1,0,Meal Plan 1,0,Room_Type 1,3,2018,5,2,Complementary,0,0,0,0.0,0,Not_Canceled
23355,INN23356,2,0,0,3,Meal Plan 1,0,Room_Type 1,204,2018,5,5,Offline,0,0,0,100.0,0,Canceled
65,INN00066,2,0,0,3,Meal Plan 1,0,Room_Type 4,30,2018,10,5,Online,0,0,0,157.5,2,Not_Canceled
14513,INN14514,2,0,2,3,Meal Plan 1,0,Room_Type 1,88,2018,4,29,Online,0,0,0,119.85,1,Canceled
32049,INN32050,3,0,0,3,Meal Plan 1,0,Room_Type 1,93,2018,6,8,Online,0,0,0,159.3,0,Canceled
18461,INN18462,1,0,2,1,Meal Plan 1,0,Room_Type 1,116,2018,2,28,Offline,0,0,0,61.0,0,Canceled
21558,INN21559,3,0,0,3,Meal Plan 1,0,Room_Type 4,46,2018,11,3,Online,0,0,0,129.6,2,Not_Canceled
24994,INN24995,2,0,1,2,Meal Plan 1,0,Room_Type 1,168,2018,4,22,Offline,0,0,0,85.0,0,Canceled
16230,INN16231,2,0,0,1,Not Selected,0,Room_Type 1,4,2018,8,2,Online,0,0,0,92.93,0,Not_Canceled
27700,INN27701,1,0,1,2,Meal Plan 1,0,Room_Type 1,180,2018,10,10,Offline,0,0,0,120.0,0,Canceled
8427,INN08428,2,0,0,3,Meal Plan 1,0,Room_Type 1,104,2018,6,9,Online,0,0,0,126.9,0,Canceled
8032,INN08033,2,0,0,2,Meal Plan 2,0,Room_Type 1,0,2017,8,14,Offline,0,0,0,109.0,0,Not_Canceled
4084,INN04085,2,1,0,3,Meal Plan 1,0,Room_Type 1,38,2018,3,24,Online,0,0,0,133.8,0,Canceled
34319,INN34320,2,0,0,3,Meal Plan 1,0,Room_Type 1,279,2018,10,12,Offline,0,0,0,110.0,0,Canceled
24428,INN24429,2,0,0,1,Meal Plan 1,0,Room_Type 2,11,2018,8,19,Online,0,0,0,127.6,1,Not_Canceled
5062,INN05063,2,0,0,3,Meal Plan 1,0,Room_Type 1,30,2018,8,31,Online,0,0,0,120.53,2,Not_Canceled
9726,INN09727,2,0,0,0,Meal Plan 1,0,Room_Type 4,3,2018,6,24,Online,0,0,0,0.0,0,Not_Canceled
1348,INN01349,2,0,1,1,Meal Plan 2,0,Room_Type 1,247,2018,6,6,Online,0,0,0,115.0,0,Canceled
35137,INN35138,1,0,0,1,Meal Plan 1,1,Room_Type 1,0,2018,12,13,Offline,0,0,0,88.2,0,Not_Canceled
2782,INN02783,2,0,1,1,Meal Plan 1,0,Room_Type 1,60,2017,9,21,Offline,0,0,0,65.0,0,Not_Canceled
22598,INN22599,2,0,1,2,Meal Plan 1,0,Room_Type 1,49,2018,3,4,Online,0,0,0,79.63,1,Not_Canceled
14967,INN14968,1,0,1,0,Meal Plan 1,0,Room_Type 1,4,2017,10,19,Online,0,0,0,90.0,0,Not_Canceled
13744,INN13745,2,0,1,1,Not Selected,0,Room_Type 1,6,2018,4,16,Online,0,0,0,104.0,0,Canceled
20621,INN20622,2,0,1,2,Meal Plan 1,0,Room_Type 1,5,2017,10,19,Offline,0,0,0,90.0,0,Not_Canceled
13745,INN13746,2,2,0,1,Meal Plan 1,0,Room_Type 6,79,2018,12,27,Online,0,0,0,156.6,1,Not_Canceled
18368,INN18369,2,0,1,2,Meal Plan 2,0,Room_Type 1,105,2017,10,12,Offline,0,0,0,110.0,0,Canceled
5515,INN05516,2,0,0,1,Meal Plan 1,0,Room_Type 1,167,2018,7,30,Online,0,0,0,105.3,2,Canceled
33574,INN33575,2,0,2,1,Meal Plan 1,0,Room_Type 1,1,2018,1,2,Online,0,0,0,74.93,0,Not_Canceled
24446,INN24447,1,0,2,0,Meal Plan 2,0,Room_Type 1,386,2018,10,23,Offline,0,0,0,90.0,0,Not_Canceled
31833,INN31834,2,0,2,2,Meal Plan 1,0,Room_Type 1,147,2018,5,22,Online,0,0,0,99.45,1,Not_Canceled
15057,INN15058,2,0,2,5,Meal Plan 1,0,Room_Type 1,165,2018,8,8,Online,0,0,0,99.45,0,Canceled
7379,INN07380,2,0,0,3,Meal Plan 1,0,Room_Type 1,56,2017,10,21,Online,0,0,0,94.5,3,Not_Canceled
5474,INN05475,2,0,1,3,Meal Plan 1,0,Room_Type 1,69,2018,3,28,Online,0,0,0,82.45,0,Not_Canceled
30975,INN30976,2,0,0,1,Meal Plan 1,0,Room_Type 1,60,2018,7,20,Online,0,0,0,81.08,1,Not_Canceled
30678,INN30679,2,0,0,3,Not Selected,0,Room_Type 1,28,2018,10,18,Online,0,0,0,91.63,1,Not_Canceled
34448,INN34449,2,0,2,3,Meal Plan 1,0,Room_Type 4,27,2017,10,18,Offline,0,0,0,75.0,0,Not_Canceled
17997,INN17998,2,0,0,1,Meal Plan 1,0,Room_Type 4,74,2018,7,9,Online,0,0,0,127.8,0,Canceled
23737,INN23738,2,0,2,1,Meal Plan 1,0,Room_Type 1,45,2018,4,23,Offline,0,0,0,95.0,1,Not_Canceled
21495,INN21496,2,0,0,1,Meal Plan 2,0,Room_Type 1,221,2018,8,12,Offline,0,0,0,96.0,1,Not_Canceled
7807,INN07808,2,0,1,1,Not Selected,0,Room_Type 1,112,2018,5,7,Online,0,0,0,99.95,0,Not_Canceled
3264,INN03265,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,Offline,0,0,0,95.0,0,Not_Canceled
10703,INN10704,3,0,0,3,Meal Plan 1,0,Room_Type 4,68,2018,7,7,Online,0,0,0,149.1,0,Canceled
21320,INN21321,2,1,1,2,Meal Plan 1,0,Room_Type 1,6,2018,7,4,Online,0,0,0,163.67,0,Canceled
4038,INN04039,2,0,0,3,Meal Plan 1,0,Room_Type 1,19,2017,10,6,Offline,1,1,0,90.0,0,Not_Canceled
7514,INN07515,2,0,1,4,Meal Plan 1,0,Room_Type 4,148,2018,8,1,Online,0,0,0,112.2,1,Canceled
2524,INN02525,2,0,0,4,Meal Plan 1,1,Room_Type 1,1,2017,8,11,Online,0,0,0,105.0,1,Not_Canceled
30870,INN30871,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,3,17,Offline,0,0,0,82.4,0,Not_Canceled
10680,INN10681,2,0,1,2,Meal Plan 1,0,Room_Type 1,22,2018,2,26,Online,0,0,0,72.64,1,Not_Canceled
13672,INN13673,1,0,1,4,Meal Plan 1,0,Room_Type 4,6,2018,10,26,Aviation,0,0,0,110.0,0,Not_Canceled
14974,INN14975,2,0,2,2,Meal Plan 1,0,Room_Type 1,24,2018,10,16,Offline,0,0,0,85.0,1,Not_Canceled
10142,INN10143,1,0,2,4,Meal Plan 1,0,Room_Type 1,69,2018,6,12,Offline,0,0,0,120.0,0,Canceled
14370,INN14371,2,0,1,4,Meal Plan 1,0,Room_Type 4,20,2018,12,21,Online,0,0,0,96.9,2,Not_Canceled
21754,INN21755,2,0,0,3,Meal Plan 1,0,Room_Type 1,314,2018,10,12,Offline,0,0,0,75.0,0,Canceled
29107,INN29108,1,0,2,2,Meal Plan 1,0,Room_Type 1,116,2018,2,28,Offline,0,0,0,61.0,0,Canceled
11181,INN11182,2,0,2,5,Meal Plan 1,0,Room_Type 1,192,2018,5,28,Online,0,0,0,66.71,0,Canceled
29928,INN29929,2,0,0,3,Meal Plan 1,0,Room_Type 4,13,2017,10,6,Offline,0,0,0,75.0,1,Not_Canceled
16560,INN16561,3,0,0,1,Meal Plan 1,0,Room_Type 4,1,2018,2,26,Online,0,0,0,127.0,0,Not_Canceled
24491,INN24492,1,0,1,0,Meal Plan 2,0,Room_Type 1,4,2018,3,7,Offline,0,0,0,92.0,0,Not_Canceled
33732,INN33733,3,0,2,1,Meal Plan 1,0,Room_Type 4,62,2018,11,19,Online,0,0,0,126.0,3,Not_Canceled
567,INN00568,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,2,3,Corporate,0,0,0,66.0,1,Not_Canceled
28727,INN28728,1,0,1,1,Meal Plan 1,0,Room_Type 1,3,2018,5,30,Corporate,1,0,3,65.0,0,Not_Canceled
32316,INN32317,2,0,1,3,Meal Plan 1,0,Room_Type 1,3,2017,8,31,Offline,0,0,0,46.54,0,Not_Canceled
14249,INN14250,2,0,1,1,Meal Plan 1,0,Room_Type 1,275,2018,6,4,Offline,0,0,0,62.8,0,Canceled
10636,INN10637,2,0,0,1,Meal Plan 1,0,Room_Type 1,20,2018,3,8,Online,0,0,0,93.0,0,Not_Canceled
9778,INN09779,2,0,0,1,Meal Plan 1,0,Room_Type 1,43,2018,9,9,Online,0,0,0,135.9,2,Not_Canceled
14585,INN14586,2,0,0,2,Meal Plan 1,0,Room_Type 1,146,2018,8,11,Online,0,0,0,123.3,1,Not_Canceled
938,INN00939,1,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Online,0,0,0,80.0,0,Canceled
34738,INN34739,2,0,1,2,Meal Plan 1,0,Room_Type 1,5,2018,7,4,Offline,0,0,0,75.0,2,Not_Canceled
26293,INN26294,3,0,0,1,Meal Plan 1,0,Room_Type 1,7,2018,8,20,Online,0,0,0,165.0,1,Not_Canceled
35468,INN35469,1,0,1,1,Meal Plan 2,0,Room_Type 1,301,2018,7,30,Offline,0,0,0,90.0,0,Not_Canceled
21668,INN21669,1,0,1,2,Meal Plan 1,0,Room_Type 1,93,2017,9,21,Online,0,0,0,80.75,1,Not_Canceled
4552,INN04553,2,0,2,2,Meal Plan 1,0,Room_Type 4,1,2018,4,16,Online,0,0,0,116.0,1,Not_Canceled
12939,INN12940,2,0,0,2,Meal Plan 1,0,Room_Type 1,70,2018,6,3,Offline,0,0,0,100.0,0,Not_Canceled
10864,INN10865,2,0,0,1,Not Selected,0,Room_Type 1,32,2018,10,29,Online,0,0,0,109.0,2,Not_Canceled
4155,INN04156,2,0,2,3,Meal Plan 1,0,Room_Type 1,6,2018,2,21,Offline,0,0,0,70.0,0,Not_Canceled
23443,INN23444,2,0,2,5,Meal Plan 1,0,Room_Type 4,2,2018,11,6,Offline,0,0,0,78.2,1,Not_Canceled
26345,INN26346,2,0,0,2,Not Selected,0,Room_Type 1,2,2018,1,22,Online,0,0,0,85.0,1,Not_Canceled
22387,INN22388,2,0,2,1,Meal Plan 2,0,Room_Type 1,122,2018,3,27,Offline,0,0,0,107.0,1,Not_Canceled
18912,INN18913,1,0,0,2,Meal Plan 1,0,Room_Type 1,164,2017,10,2,Offline,0,0,0,100.0,0,Not_Canceled
35962,INN35963,1,0,1,2,Meal Plan 1,0,Room_Type 1,180,2018,10,10,Offline,0,0,0,120.0,0,Canceled
30767,INN30768,2,0,2,0,Meal Plan 1,0,Room_Type 1,160,2018,8,7,Offline,0,0,0,72.25,1,Not_Canceled
17421,INN17422,2,0,0,2,Meal Plan 1,0,Room_Type 4,78,2018,10,7,Online,0,0,0,132.3,1,Canceled
17595,INN17596,2,0,2,1,Not Selected,0,Room_Type 1,8,2018,10,29,Online,0,0,0,135.67,2,Not_Canceled
9374,INN09375,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2017,8,28,Corporate,1,1,2,65.0,0,Not_Canceled
14885,INN14886,2,0,0,1,Meal Plan 1,1,Room_Type 1,1,2017,8,11,Online,0,0,0,105.0,1,Not_Canceled
8400,INN08401,3,0,0,1,Meal Plan 1,0,Room_Type 1,8,2018,11,5,Offline,0,0,0,160.0,0,Not_Canceled
13971,INN13972,2,0,0,3,Meal Plan 1,0,Room_Type 1,73,2017,11,24,Offline,0,0,0,85.67,0,Not_Canceled
17901,INN17902,3,0,0,4,Meal Plan 1,0,Room_Type 4,2,2018,2,3,Online,0,0,0,130.0,2,Not_Canceled
8700,INN08701,2,0,0,3,Not Selected,0,Room_Type 1,22,2017,10,21,Online,0,0,0,87.78,2,Not_Canceled
12666,INN12667,2,0,0,3,Not Selected,0,Room_Type 1,30,2018,1,28,Online,0,0,0,67.5,1,Not_Canceled
23179,INN23180,1,0,0,3,Meal Plan 1,0,Room_Type 4,120,2018,10,13,Online,0,0,0,132.3,2,Not_Canceled
26505,INN26506,2,0,0,4,Meal Plan 1,0,Room_Type 1,7,2017,12,30,Offline,0,0,0,71.0,0,Not_Canceled
36130,INN36131,2,0,2,7,Meal Plan 1,0,Room_Type 1,117,2018,12,20,Online,0,0,0,90.4,1,Not_Canceled
6697,INN06698,2,0,0,3,Not Selected,0,Room_Type 1,73,2018,4,27,Online,0,0,0,82.69,1,Not_Canceled
760,INN00761,1,2,0,3,Meal Plan 1,0,Room_Type 6,30,2018,9,1,Online,0,0,0,181.8,1,Not_Canceled
18625,INN18626,3,0,0,1,Meal Plan 1,0,Room_Type 4,1,2018,7,7,Online,0,0,0,197.0,0,Not_Canceled
8061,INN08062,2,0,1,3,Meal Plan 1,0,Room_Type 4,73,2018,3,28,Offline,0,0,0,69.7,1,Not_Canceled
13893,INN13894,1,0,2,5,Meal Plan 1,0,Room_Type 1,196,2018,8,1,Offline,0,0,0,68.0,0,Not_Canceled
29033,INN29034,2,0,2,1,Meal Plan 1,0,Room_Type 1,132,2018,7,17,Offline,0,0,0,72.25,0,Not_Canceled
18612,INN18613,2,0,0,3,Meal Plan 1,0,Room_Type 1,104,2018,4,19,Online,0,0,0,68.42,0,Not_Canceled
6219,INN06220,2,0,1,4,Not Selected,0,Room_Type 1,103,2018,7,6,Offline,0,0,0,78.2,0,Not_Canceled
24352,INN24353,1,0,2,1,Meal Plan 1,0,Room_Type 1,2,2017,11,22,Corporate,0,0,0,65.0,0,Not_Canceled
338,INN00339,2,0,0,3,Meal Plan 1,0,Room_Type 4,143,2018,8,18,Online,0,0,0,140.7,0,Canceled
25881,INN25882,1,0,2,2,Meal Plan 1,0,Room_Type 1,111,2018,6,17,Online,0,0,0,109.65,1,Not_Canceled
36149,INN36150,2,2,0,3,Meal Plan 1,0,Room_Type 2,166,2018,4,21,Online,0,0,0,73.6,2,Not_Canceled
28714,INN28715,2,0,1,1,Meal Plan 1,0,Room_Type 4,6,2018,5,9,Online,0,0,0,126.0,1,Not_Canceled
4694,INN04695,2,2,1,0,Not Selected,0,Room_Type 6,35,2017,12,28,Online,0,0,0,150.3,1,Not_Canceled
13642,INN13643,2,0,2,9,Meal Plan 1,0,Room_Type 1,136,2018,4,20,Online,0,0,0,99.95,0,Canceled
3480,INN03481,2,0,2,2,Meal Plan 1,0,Room_Type 4,60,2018,8,28,Online,0,0,0,111.6,0,Not_Canceled
35686,INN35687,3,0,1,2,Meal Plan 1,0,Room_Type 4,49,2018,6,3,Online,0,0,0,150.3,0,Canceled
4320,INN04321,2,0,2,2,Meal Plan 1,0,Room_Type 1,54,2018,10,16,Offline,0,0,0,81.0,0,Not_Canceled
33996,INN33997,2,2,1,3,Meal Plan 1,0,Room_Type 7,32,2018,5,26,Online,0,0,0,208.66,2,Not_Canceled
20251,INN20252,1,0,0,3,Meal Plan 1,0,Room_Type 1,162,2017,9,17,Offline,0,0,0,60.0,0,Not_Canceled
31097,INN31098,2,0,0,2,Not Selected,0,Room_Type 1,44,2018,2,12,Online,0,0,0,67.5,0,Canceled
21865,INN21866,3,0,0,2,Meal Plan 1,0,Room_Type 4,130,2018,6,9,Online,0,0,0,159.3,0,Canceled
13288,INN13289,2,0,1,2,Meal Plan 2,0,Room_Type 1,418,2018,9,26,Offline,0,0,0,107.0,0,Canceled
27998,INN27999,2,0,1,1,Meal Plan 1,0,Room_Type 1,180,2018,5,2,Offline,0,0,0,100.0,1,Not_Canceled
4026,INN04027,2,0,2,5,Not Selected,0,Room_Type 1,258,2018,10,2,Online,0,0,0,90.1,0,Canceled
